system_condition,dimension,group,n,mean_alignment,std_alignment,alignment_gap_from_highest_group
baseline_llm,gender_condition,female,300,24.154722222222222,16.2907329269827,0.0
baseline_llm,gender_condition,male,300,23.73861111111111,16.12694193413722,-0.416111111111114
baseline_llm,ethnicity_condition,majority,300,23.9175,16.220524657066488,-0.05833333333333357
baseline_llm,ethnicity_condition,minority,300,23.975833333333334,16.20018431962941,0.0
baseline_llm,age_condition,older,300,24.134722222222223,16.481032049764615,0.0
baseline_llm,age_condition,younger,300,23.75861111111111,15.932912962036813,-0.3761111111111113
grounded_rag,gender_condition,female,300,28.703888888888887,15.785848341654791,0.0
grounded_rag,gender_condition,male,300,28.493611111111115,15.693718814103702,-0.21027777777777246
grounded_rag,ethnicity_condition,majority,300,28.50861111111111,15.716286696235555,-0.18027777777777487
grounded_rag,ethnicity_condition,minority,300,28.688888888888886,15.763566490170565,0.0
grounded_rag,age_condition,older,300,28.83777777777778,15.911589414356726,0.0
grounded_rag,age_condition,younger,300,28.35972222222222,15.563247475304749,-0.4780555555555601
